Porcentaje;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Busqueda;Generacion;Aciertos
0;26;72;97;42;22;61;3;57;64;34;71;23;55;36;20;11;13;61;66;51;56;40;39;29;38;45;30;23;5;58;20;32;17;31;46;60;73;61;79;72;64;7;108;32;67;53;11;50;16;72;67;51;27;42;55;69;39;37;65;35;76;43;74;14;34;47;64;62;20;29;64;55;49;9;4;53;57;48;58;49;52;56;83;34;35;22;85;51;76;31;62;15;18;79;56;75;40;81;81;42;0;0;100
0,03;36;58;25;51;67;88;78;64;21;53;108;39;-2;68;32;51;35;52;46;68;95;22;45;42;28;66;26;6;28;99;63;75;48;12;72;24;64;27;74;26;74;87;29;31;64;98;73;55;38;15;59;69;33;8;46;37;14;27;32;12;29;14;85;56;34;56;-2;9;16;41;30;-2;50;19;48;37;38;61;77;65;45;60;70;24;65;43;79;45;17;67;44;65;31;29;-2;60;33;41;16;72;0;4;96
0,06;34;70;52;20;30;20;26;71;104;37;-2;33;29;6;16;60;26;53;84;44;58;-2;36;22;26;6;41;61;36;38;39;36;36;66;11;9;85;49;39;9;41;64;79;49;22;21;30;100;31;46;113;75;12;40;53;26;29;-2;73;17;41;33;88;32;72;35;73;20;23;-2;28;38;39;55;13;21;-2;43;55;98;44;35;84;-2;-2;27;59;33;16;55;60;-2;22;37;50;-2;62;17;49;32;0;9;91
0,09;31;44;84;43;-2;25;15;45;85;50;43;66;54;56;82;-2;16;38;101;30;63;33;47;-2;-2;64;52;44;86;50;50;36;-2;81;43;61;66;50;-2;28;4;47;27;8;21;-2;-2;31;61;58;-2;25;72;34;34;25;50;15;25;37;-2;66;-2;65;52;-2;76;44;10;42;-2;55;70;-2;37;-2;30;61;7;38;53;7;21;33;68;52;40;24;60;65;16;55;2;55;67;60;64;18;1;44;0;15;85
0,12;-2;63;25;42;76;82;86;-2;57;52;-2;7;47;22;-2;67;105;24;50;-2;-2;67;90;42;23;-2;1;27;60;73;93;66;64;40;61;76;36;47;48;74;28;16;42;48;11;-2;-2;-2;22;51;-2;-2;52;48;74;8;18;-2;53;86;29;52;55;86;56;22;59;-2;23;56;89;20;40;11;35;-2;105;-2;44;70;25;122;84;-2;-2;30;45;29;26;-2;-2;-2;74;27;51;9;-2;21;39;39;0;22;78
0,15;61;44;69;-2;-2;60;77;-2;55;45;74;92;60;-2;64;60;41;15;64;-2;-2;78;-2;-2;95;-2;-2;62;63;-2;44;-2;18;-2;77;37;-2;90;-2;79;31;-2;63;62;-2;-2;63;40;-2;-2;54;39;-2;-2;100;16;-2;-2;-2;-2;11;25;95;50;-2;74;26;-2;9;87;-2;-2;12;21;-2;45;69;44;61;-2;48;38;91;28;37;-2;-2;39;70;59;-2;24;37;-2;57;60;59;113;19;-2;0;37;63
0,18;-2;68;50;85;36;47;69;69;59;23;74;-2;-2;-2;-2;71;35;-2;91;-2;-2;-2;-2;28;-2;107;24;46;-2;-2;108;-2;77;75;68;-2;-2;47;-2;19;57;27;39;18;48;35;31;58;59;-2;34;30;70;61;-2;-2;-2;26;-2;20;53;43;-2;-2;39;86;60;74;28;63;50;-2;76;10;-2;-2;-2;57;-2;-2;41;35;-2;37;-2;31;40;82;100;-2;20;44;-2;47;-2;-2;-2;-2;-2;45;0;39;61
0,21;-2;20;-2;75;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;29;52;40;35;69;14;92;39;51;-2;63;-2;22;46;-2;32;26;73;70;-2;35;-2;-2;67;55;-1;9;40;56;15;61;37;-2;69;68;-2;55;-2;-2;101;59;55;-2;-2;-1;-2;37;53;-2;24;59;-2;-2;77;-2;55;97;-2;90;-2;26;88;88;-2;52;61;-2;48;34;39;13;52;-2;-2;6;85;90;-2;-2;52;77;-2;3;41;56
0,24;-2;43;-2;-2;-2;36;-2;-2;34;48;70;-2;39;3;-2;-2;-2;24;55;39;57;-2;63;-2;-2;50;-2;21;21;15;40;-2;-2;72;-2;-2;-2;-2;53;65;89;55;18;-2;51;-2;-2;41;-2;58;46;90;-2;-2;66;77;-2;28;84;24;59;-2;22;-2;-2;37;-2;17;26;31;-2;-2;40;30;-2;-2;53;-2;11;17;50;49;-2;56;11;42;14;-2;-2;45;46;17;51;-2;84;10;45;-2;40;-2;0;42;58
0,27;65;97;72;-2;-2;19;81;107;-2;56;29;30;50;40;77;18;66;-2;25;39;-2;33;-2;-2;-2;-2;-2;52;-2;56;31;-2;54;46;59;-2;-2;12;63;-2;-2;62;-2;30;38;47;28;72;-2;-2;-2;35;51;-2;33;33;-2;-2;-2;45;-2;39;-2;-2;-2;-2;38;-2;-2;-2;-2;-2;-2;-2;24;22;-2;35;39;46;-2;-2;72;61;50;-2;-2;65;-2;-2;54;-2;44;-2;-2;-2;54;51;70;23;0;47;53
0,3;-2;-2;-2;50;-2;-2;11;-2;23;44;23;80;-2;-2;75;-2;-2;93;-2;84;-2;-2;-2;-2;72;64;8;37;49;65;66;-2;61;101;48;-2;27;64;55;-2;39;-2;-2;-2;28;18;-2;41;-2;68;52;-1;-2;-2;30;52;-2;25;-1;-2;-2;30;51;-2;106;71;50;-2;-2;-1;69;43;79;-2;80;-2;24;-2;-2;46;51;-2;-2;-2;91;32;-2;-2;109;-2;-1;73;-2;63;41;43;-1;-1;-2;74;6;43;51
0,33;-2;80;28;-2;17;-1;71;-2;-2;-2;-2;-2;-1;114;-2;53;105;-2;-2;51;46;-1;91;-2;116;120;-2;-2;38;-2;53;-2;-2;-2;-2;-2;45;57;-2;-2;-2;-2;59;6;47;99;-2;93;-2;-2;109;-2;-2;-2;102;31;-2;111;26;-1;58;-2;70;-2;102;-2;-2;-2;-2;-2;-2;-2;59;-2;-2;23;46;-2;52;59;-1;64;95;41;-1;34;83;-2;-2;-2;-2;80;59;36;51;-2;-2;-2;60;-2;6;50;44
0,36;-2;-2;119;-2;-2;-2;60;-1;-2;107;-2;27;79;40;141;-2;-1;-2;16;-2;-2;82;-2;-2;-1;52;-2;74;-2;-2;-1;-2;-2;-1;-2;116;-2;-1;-2;-2;-2;-2;-2;-2;-2;57;-2;-2;-2;50;121;-2;-2;-2;-2;-2;29;-2;104;97;-2;45;-2;-2;-1;99;26;54;-2;13;-2;34;49;38;-2;132;-2;108;-2;-2;-1;-2;-2;-2;-2;49;31;-2;-2;-2;-2;-2;-2;105;-1;-2;152;-1;14;-2;10;57;33
0,39;-2;78;116;-2;-2;114;-2;-1;-2;-2;-1;-2;145;-1;-2;-2;115;-1;-2;83;-1;-1;-2;-2;-2;-1;-2;-1;-1;-1;-1;-2;-2;-2;-2;-1;-2;-2;-2;-1;60;63;-1;-2;-2;-2;-1;-2;-2;79;-2;-2;42;-2;-1;64;-2;-2;-2;-2;58;-1;79;-2;66;-2;112;33;-2;109;71;-1;-2;-2;-1;-2;-2;-1;-2;-2;-2;-2;-1;46;-2;-2;-1;-2;-1;-1;-2;107;-2;-2;-2;-2;-2;-2;-2;-2;24;56;20
0,42;-1;-1;-2;44;-1;-1;-2;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-2;-1;72;-1;-1;-2;52;-2;98;-2;-2;-1;-2;145;-2;-1;-2;-1;-2;20;-1;-1;-2;-1;-1;-1;-2;-2;-2;-1;-1;-2;-2;-2;-2;-1;-2;-1;-2;-1;-2;-1;-2;38;-2;-2;-1;-2;-2;-2;-1;-1;-1;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;19;-2;-1;33;-2;-1;-1;-2;-2;-2;-1;-2;-1;-2;-2;-1;-1;-1;-2;-2;36;55;9
0,45;-2;-2;-2;-2;-2;-2;-2;-1;-2;-1;-1;-1;-2;-2;-1;-2;27;-2;-2;-2;-2;-2;3;-2;-2;-2;-1;-1;-1;-2;-2;-2;-1;-1;-1;-1;-2;-1;-1;-1;-2;-2;-2;-1;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-2;-1;-2;-2;-1;-2;-2;-2;26;72;2
0,48;-1;-2;-2;-2;-1;-2;-2;-2;21;-1;-1;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;-1;-2;-1;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-1;-1;-2;15;-2;-1;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-1;-2;-2;24;74;2
0,51;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-1;-1;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;-1;-2;-1;-1;-2;-1;-2;-2;-2;-1;-2;-1;-1;-2;-2;-2;-2;-2;22;78;0
0,54;-2;-2;-1;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-1;-1;-2;-1;-2;-2;-2;-1;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-2;-2;-1;-2;-2;-2;-2;1;-1;-2;-2;-2;-2;-1;-2;-1;-2;-1;-2;-2;-1;-2;-1;-2;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;24;75;1
0,57;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;10;90;0
0,6;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-1;-1;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-1;-2;-2;-2;-1;-2;-2;-2;-1;-1;-2;-1;-2;-2;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-1;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-2;-1;-2;24;76;0
0,63;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-1;-2;-2;-2;14;86;0
0,66;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-1;-1;-1;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;14;86;0
0,69;1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-1;-2;-2;-1;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;11;88;1
0,72;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;5;95;0
0,75;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-1;-1;-2;-2;-2;-2;-1;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;7;93;0
0,78;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;4;96;0
0,81;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;3;97;0
0,84;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;3;97;0
0,87;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;99;0
0,9;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0;100;0
0,93;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0;100;0
0,96;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0;100;0
0,99;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;0;100;0
